Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MZ/SER/84A15/2016/6,Mizoram,Serchhip, ,"Serchhip, SH-Thenzawl-Serchhip Road",23.2741,92.848362,,,,Active
MZ/SER/84A11/2017/144,Mizoram,Aizawl, ,"About 200m South of Tropic of cancer, North Lungsai, SH-Aizawl-Thenzawl-Lunglei Road",23.49901,92.702759,,,,Active
MZ/SER/84A15/2016/64,Mizoram,Serchhip, ,"Near District Jail, Serchhip, Chhingchhip-Sialhau Road",23.38533,92.855433,,,,Active
MZ/SER/84A15/2016/35,Mizoram,Serchhip, ,"About 100m  South of Assam rifeles Camp, Chanmari Veng, Serchhip-DIET Road",23.308769,92.862258,,,,Active
MZ/LAW/84B14/2018/40,Mizoram,Lawngtlai, ,Multi- Modal Road,22.530001,92.890999,,,,Suspended
MIZ/AIZ/84A13/2016/2,Mizoram,Aizawl, ,~2 km from Vanzao,23.847224,92.927508,,,,Suspended
MZ/AIZ/84A14/2015/76,Mizoram,Aizawl, ,"East of Zemabawk, near MRF showroom on NH 54 Aizawl-Seling road",23.732894,92.753033,,,,Active
MZ/LUN/84A12/2018/10,Mizoram,Lunglei, ,S. Lungdai Village (Opposite to F. Laremruata's residence),23.056194,92.70047,,,,Reactivated
MZ/AIZ/84E01/2017/55,Mizoram,Aizawl, ,14 lm from Dilkhan,23.777805,93.00489,,,,Suspended
MZ/SER/84A15/2016/85,Mizoram,Serchhip, ,"Mualpui Veng, Chhinchhip, NH-54 Aizawl-Serchhip-Lunglei Road",23.478601,92.858505,,,,Dormant
MZ/AIZ/84A10/2015/210,Mizoram,Aizawl, ,"Maubawk, Aizawl - Tlawng Rd",23.719972,92.697694,,,,Dormant
